parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
V_pop,11.9200010906698,,121.792784677894,1021.75145582181,0.582148,244.073
k_pop,0.132733156576508,,0.613934072374138,462.532563986953,0.0107919,1.63253
k12_pop,1.82593217282454,,inf,inf,1.20873e-48,2.75828e+48
k21_pop,2.70829390716718,,inf,inf,1.11458e-48,6.58083e+48
k13_pop,0.00207304373690204,,nan,nan,nan,nan
k31_pop,189.100680075358,,nan,nan,nan,nan
Cc_baseline_pop,28.3848331516913,,6.41023033827778,22.5832940571498,18.5179,43.5092
omega_V,0.608705084367027,66.9694225154287,8.98973280958843,1476.86179078602,0.0239293,15.484
omega_k,1.13639639750948,162.415032452979,3.61647058295752,318.240236495238,0.120159,10.7474
omega_k12,2.09549587391056,892.913271318848,5064.89342195283,241703.812687584,0.00881978,497.87
omega_k21,0.791491198592312,93.3259042638744,13669.1761405038,1727015.55807756,0.00173639,360.781
omega_k13,3.11417376067711,12761.37857938,nan,nan,nan,nan
omega_k31,3.76570140100045,120021.162410525,nan,nan,nan,nan
omega_Cc_baseline,0.699569854339931,79.4565183279712,0.172038341672261,24.5920175955246,0.440626,1.11069
corr_k_V,-0.811662300387061,,2.78067950804434,342.590694026112,-1,1
corr_k12_V,-0.642417190819866,,1928.1122367758,300133.972802799,-1,nan
corr_k21_V,-0.833332093337682,,15372.6013184372,1844714.90313861,-1,nan
corr_k12_k,0.542089103587994,,1454.61015490685,268334.143829684,-1,nan
corr_k21_k,0.660667148767165,,11789.5746257908,1784495.36166445,-1,nan
corr_k21_k12,0.725132630039407,,1365.88036048281,188362.832383998,-1,nan
a,0.0246297733911011,,1.60295747799802,6508.21041892807,0.000447179,1.35656
b,0.546480344019984,,0.0931499985088944,17.0454435421538,0.393991,0.757989
