parameter,value,CV
V_pop,23.0745468350392,
k_pop,0.0583024870407387,
k12_pop,0.000627546764415229,
k21_pop,10293.4646915322,
beta_k21_baseline,-0.235691659102781,
Cc_baseline_pop,49.6130019427259,
beta_Cc_baseline_SEX_Male,-0.477096204012034,
beta_Cc_baseline_age,-0.0175780421091607,
beta_Cc_baseline_baseline,0.0179031621559008,
omega_V,1.01439929564451,134.100065828018
omega_k,1.2039512224205,180.581762509648
omega_k12,1.30057059222388,210.416930265056
omega_k21,3.39666384873138,32010.7786259123
omega_Cc_baseline,0.021818846960838,2.18214439998383
corr_k_V,-0.86194368605197,
b,0.537612342126129,
