parameter,value,CV
V_pop,0.0569551510887483,
k_pop,15.4520944159137,
k12_pop,121.37221619897,
k21_pop,0.000191581293483049,
beta_k21_GFR_MDRD_,0.024726079912804,
beta_k21_age,0.0892853101606179,
Cc_baseline_pop,17.4555965492007,
beta_Cc_baseline_SEX_Male,-0.508811480880455,
beta_Cc_baseline_baseline,0.017937038819437,
omega_V,0.230336085210711,23.3425227451264
omega_k,0.237259543482968,24.063799283131
omega_k12,0.502099873484469,53.5471954741935
omega_k21,0.765276456131256,89.2274965629419
omega_Cc_baseline,0.0744584150090348,7.45617347034103
b,0.526903535595405,
