parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
V_pop,24.1925818024086,,1595.37260402991,6594.47022670011,0.436502,1340.84
k_pop,0.0557568325930767,,0.225225090694921,403.941687897973,0.00497755,0.624569
k12_pop,0.00122589407855797,,inf,inf,0,inf
k21_pop,1.81386650524214,,inf,inf,0,inf
Cc_baseline_pop,28.8580850257613,,6.54871238973311,22.6928168791766,18.7903,44.3202
omega_V,1.10783836728384,155.306942190566,4.16945701782807,376.359687564406,0.103927,11.8093
omega_k,1.15375933033187,166.896200825113,2.0080709909417,174.04591565592,0.191904,6.93661
omega_k12,2.16210554057889,1030.53598511253,36249680.6965327,1676591637.92842,0.000729758,6405.82
omega_k21,0.923486400304437,116.028905889171,nan,nan,nan,nan
omega_Cc_baseline,0.709054375847861,80.8254228995176,0.172280279990407,24.2971887430214,0.448893,1.12
corr_V_Cc_baseline,0.05529930494534,,2.13391234792655,3858.84117356592,-0.999493,0.999594
corr_k_Cc_baseline,-0.397882262737267,,1.29067360634498,324.385811386934,-0.99789,0.98868
corr_k12_Cc_baseline,-0.513067020574436,,8601996.43016754,1676583386.81302,-1,nan
corr_k21_Cc_baseline,-0.739835396919274,,55066.0372213104,7443011.97950371,-1,nan
corr_k_V,-0.846044416822996,,0.821201605147571,97.0636516025112,-0.999998,0.999711
corr_k12_V,0.383129090897914,,6460916.5184032,1686354983.71089,-1,nan
corr_k21_V,-0.00193009928920243,,105594.197629208,5470920497.19591,-1,nan
corr_k12_k,-0.145792393983567,,2474554.12554681,1697313596.36342,-1,nan
corr_k21_k,0.292877815730557,,84392.5931838284,28814948.9825028,-1,nan
corr_k21_k12,0.276763184905407,,34619538.2207058,12508722297.2008,-1,nan
a,0.0245516841719913,,1.56550389451418,6376.36051175714,0.000450125,1.33915
b,0.540177118679171,,0.09074972790816,16.7999948109722,0.391213,0.745863
