parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
V_pop,23.2071583479028,,13.2324500032526,57.0188292977644,9.06916,59.385
k_pop,0.0273313151378071,,0.0212544456954401,77.7659091348996,0.00851779,0.0876989
beta_k_GFR_MDRD_,0.0088204677188982,,0.00500779764777382,56.7747403807671,-0.000994635,0.0186356
k12_pop,0.00020697773009014,,inf,inf,4.61081e-62,9.29115e+53
k21_pop,2079981.90626422,,inf,inf,0,inf
beta_k21_baseline,-0.452316404812266,,180.493396266052,39904.2339269047,-354.213,353.308
Cc_baseline_pop,43.5491759743054,,17.2892843756669,39.7006005024475,21.5016,88.2041
beta_Cc_baseline_SEX_Male,-0.412502788382425,,0.182751618781166,44.3031232583426,-0.770689,-0.0543162
beta_Cc_baseline_age,-0.0158929351944934,,0.00468077364268976,29.4519142336373,-0.0250671,-0.00671879
beta_Cc_baseline_baseline,0.0179278412824607,,0.00272595711863985,15.2051609320455,0.0125851,0.0232706
omega_V,1.04801517346057,141.392031602268,0.422132021277833,40.2791898407295,0.513021,2.14092
omega_k,1.11754548095933,157.687451676183,0.272643808175674,24.3966632965693,0.70628,1.76829
omega_k12,2.44795418698461,1998.5151186931,1647.10065278118,67284.7825967723,0.0164669,363.912
omega_k21,2.45320278101861,2024.45058383493,18456.6920525854,752350.853153763,0.00702537,856.638
omega_Cc_baseline,0.0234431334381469,2.3446354779247,0.784511849719339,3346.44620689986,0.000591276,0.929483
corr_k_V,-0.940227244449675,,0.106269049610561,11.302485674382,-0.998304,0.0559062
b,0.538059108479025,,0.0585685595598324,10.8851534407424,0.435493,0.664781
